iter	Logloss
0	0.5675296598
1	0.4704815377
2	0.3903695719
3	0.3204818261
4	0.2608115507
5	0.2184661585
6	0.1845051703
7	0.1539816902
8	0.1286564284
9	0.1093595359
10	0.09335511618
11	0.08039080502
12	0.06884007389
13	0.06021691891
14	0.05227494483
15	0.04636853491
16	0.0405794366
17	0.03629756343
18	0.03190153769
19	0.02866028747
20	0.02528684755
21	0.02233530458
22	0.02013142121
23	0.01833079434
24	0.0167703892
25	0.01536338489
26	0.01389747057
27	0.01254241785
28	0.01168506905
29	0.01083662413
30	0.01002786354
31	0.009398949182
32	0.008725677442
33	0.00819085325
34	0.007849567497
35	0.00736994337
36	0.006996604033
37	0.006671670634
38	0.006493846646
39	0.006123666189
40	0.005813610968
41	0.005514315129
42	0.005186611228
43	0.004920206049
44	0.004803123659
45	0.004573841325
46	0.004465943441
47	0.004315129385
48	0.004136003195
49	0.00400702523
50	0.003935120969
51	0.003859077464
52	0.003700037152
53	0.003520010638
54	0.003471278442
55	0.003395430959
56	0.003362202909
57	0.003295223094
58	0.003237428174
59	0.00316328769
60	0.003124115137
61	0.00299727921
62	0.00292865414
63	0.00288576961
64	0.002805233524
65	0.002743375212
66	0.00271623152
67	0.002662478147
68	0.002631358297
69	0.002555130208
70	0.002492420151
71	0.002468295127
72	0.002421554511
73	0.002390263312
74	0.002298771937
75	0.002273007156
76	0.002221832475
77	0.002200693433
78	0.002198628851
79	0.002168406901
80	0.002143592241
81	0.002121305514
82	0.002093005252
83	0.00201955386
84	0.001997122691
85	0.001972916458
86	0.001948058389
87	0.001923996608
88	0.001894624898
89	0.001882365304
90	0.001863202182
91	0.001851505951
92	0.001830059297
93	0.001814389959
94	0.001795727856
95	0.00176404043
96	0.001752211366
97	0.001733125928
98	0.001718112467
99	0.00169738106
100	0.001667594606
101	0.001652043722
102	0.001635507783
103	0.001623817199
104	0.001591838797
105	0.001576933236
106	0.001569001787
107	0.001522305911
108	0.001507915994
109	0.001496274242
110	0.001488014883
111	0.001467081773
112	0.001453004187
113	0.001442510998
114	0.001432772252
115	0.00142207168
116	0.001404368217
117	0.001377102407
118	0.001344885528
119	0.001334122862
120	0.001334122862
121	0.001290130804
122	0.001290120879
123	0.001282342733
124	0.001260029287
125	0.001236743885
126	0.001213598571
127	0.001204872275
128	0.001192855804
129	0.001167798627
130	0.001156657363
131	0.001146544696
132	0.001132668768
133	0.001114914806
134	0.001100233589
135	0.001076948024
136	0.001076948024
137	0.001052105831
138	0.001045757969
139	0.00104575359
140	0.00104575359
141	0.001037280117
142	0.001014933946
143	0.0009985500138
144	0.0009790444232
145	0.0009534833336
146	0.0009534833336
147	0.0009408107407
148	0.0009333875695
149	0.0009333875695
150	0.000933369705
151	0.000923881212
152	0.0009102899426
153	0.0008967854397
154	0.0008967784441
155	0.0008967715494
156	0.0008967715494
157	0.0008967681696
158	0.000877837948
159	0.0008778392256
160	0.0008685784006
161	0.0008586855213
162	0.0008586792959
163	0.0008586793558
